date,airport,direction,time,destination,flight,airline,duration,scraped_at
2026-10-16,PPG,departure,23:20,HNL Honolulu,AS866,Alaska Airlines,5h 25m,2026-02-12T20:45:58.627931
2026-10-16,PPG,arrival,21:20,HNL Honolulu,AS865,Alaska Airlines,5h 55m,2026-02-12T20:46:02.605587
