date,airport,direction,time,destination,flight,airline,duration,scraped_at
2026-05-05,HKG,departure,00:05,CDG Paris,CX261,Cathay Pacific,13h 45m,2026-02-13T15:47:55.034332
2026-05-05,HKG,departure,00:05,LAX Los Angeles,CX880,Cathay Pacific,13h 0m,2026-02-13T15:47:55.239237
2026-05-05,HKG,departure,00:05,ZRH Zurich,CX383,Cathay Pacific,13h 5m,2026-02-13T15:47:55.403831
2026-05-05,HKG,departure,00:05,DXB Dubai,EK381,Emirates,8h 20m,2026-02-13T15:47:55.560836
2026-05-05,HKG,departure,00:20,MAD Madrid,CX315,Cathay Pacific,14h 30m,2026-02-13T15:47:55.746367
2026-05-05,HKG,departure,00:20,MEL Melbourne,CX105,Cathay Pacific,8h 55m,2026-02-13T15:47:55.926210
2026-05-05,HKG,departure,00:25,ADD Addis Ababa,ET645,Ethiopian,10h 45m,2026-02-13T15:47:56.079220
2026-05-05,HKG,departure,00:30,ICN Seoul,OZ746,Asiana,3h 40m,2026-02-13T15:47:56.245167
2026-05-05,HKG,departure,00:35,ICN Seoul,7C6028,Jeju Air,3h 55m,2026-02-13T15:47:56.397674
2026-05-05,HKG,departure,00:35,MAN Manchester,CX259,Cathay Pacific,14h 20m,2026-02-13T15:47:56.570590
2026-05-05,HKG,departure,00:40,BNE Brisbane,CX165,Cathay Pacific,8h 25m,2026-02-13T15:47:56.731664
2026-05-05,HKG,departure,00:45,JNB Johannesburg,CX749,Cathay Pacific,12h 55m,2026-02-13T15:47:56.896494
2026-05-05,HKG,departure,00:45,YVR Vancouver,CX888,Cathay Pacific,11h 40m,2026-02-13T15:47:57.096244
2026-05-05,HKG,departure,00:45,ICN Seoul,KE2012,Korean Air,3h 40m,2026-02-13T15:47:57.255584
2026-05-05,HKG,departure,00:50,MXP Milan,CX233,Cathay Pacific,13h 5m,2026-02-13T15:47:57.439439
2026-05-05,HKG,departure,00:50,SFO San Francisco,CX872,Cathay Pacific,12h 50m,2026-02-13T15:47:57.634147
2026-05-05,HKG,departure,00:50,ICN Seoul,UO616,HK Express,3h 40m,2026-02-13T15:47:57.791726
2026-05-05,HKG,departure,00:55,NRT Tokyo,GK28,Jetstar Japan,4h 20m,2026-02-13T15:47:57.959080
2026-05-05,HKG,departure,00:55,KIX Osaka,MM68,Peach Aviation,3h 50m,2026-02-13T15:47:58.146602
2026-05-05,HKG,departure,00:55,DOH Doha,QR815,Qatar Airways,8h 10m,2026-02-13T15:47:58.311775
2026-05-05,HKG,departure,01:10,MUC Munich,CX301,Cathay Pacific,12h 45m,2026-02-13T15:47:58.477377
2026-05-05,HKG,departure,01:15,NRT Tokyo,UO854,HK Express,4h 30m,2026-02-13T15:47:58.649087
2026-05-05,HKG,departure,01:20,NRT Tokyo,CX524,Cathay Pacific,4h 20m,2026-02-13T15:47:58.819810
2026-05-05,HKG,departure,01:40,MNL Manila,HB231,Greater Bay Airlines,2h 10m,2026-02-13T15:47:58.994404
2026-05-05,HKG,departure,01:45,SIN Singapore,CX659,Cathay Pacific,3h 45m,2026-02-13T15:47:59.172076
2026-05-05,HKG,departure,01:55,KIX Osaka,CX566,Cathay Pacific,3h 45m,2026-02-13T15:47:59.347678
2026-05-05,HKG,departure,02:10,DPS Denpasar,HX707,Hong Kong Airlines,4h 55m,2026-02-13T15:47:59.524802
2026-05-05,HKG,departure,02:15,JFK New York,CX844,Cathay Pacific,15h 45m,2026-02-13T15:47:59.709207
2026-05-05,HKG,departure,02:30,CJU Jeju,UO676,HK Express,2h 50m,2026-02-13T15:47:59.878249
2026-05-05,HKG,departure,02:35,NRT Tokyo,HX606,Hong Kong Airlines,4h 45m,2026-02-13T15:48:00.108326
2026-05-05,HKG,departure,02:35,PUS Busan,UO604,HK Express,3h 25m,2026-02-13T15:48:00.305843
2026-05-05,HKG,departure,02:50,KIX Osaka,HX616,Hong Kong Airlines,4h 5m,2026-02-13T15:48:00.486202
2026-05-05,HKG,departure,06:10,KWE Guiyang,UO246,HK Express,2h 0m,2026-02-13T15:48:00.676418
2026-05-05,HKG,departure,07:00,OKA Okinawa,UO820,HK Express,2h 40m,2026-02-13T15:48:00.847733
2026-05-05,HKG,departure,07:15,ICN Seoul,UO618,HK Express,3h 35m,2026-02-13T15:48:01.013820
2026-05-05,HKG,departure,07:20,MNL Manila,CX907,Cathay Pacific,2h 15m,2026-02-13T15:48:01.179518
2026-05-05,HKG,departure,07:25,PEK Beijing,CX334,Cathay Pacific,3h 25m,2026-02-13T15:48:01.345481
2026-05-05,HKG,departure,07:25,BKK Bangkok,UO704,HK Express,3h 0m,2026-02-13T15:48:01.504439
2026-05-05,HKG,departure,07:30,PVG Shanghai,MU726,China Eastern,2h 45m,2026-02-13T15:48:01.679051
2026-05-05,HKG,departure,07:35,FUK Fukuoka,UO600,HK Express,3h 25m,2026-02-13T15:48:01.858486
2026-05-05,HKG,departure,07:35,ISG Ishigaki,UO812,HK Express,2h 5m,2026-02-13T15:48:02.014913
2026-05-05,HKG,departure,07:40,BKK Bangkok,UA820,United,2h 55m,2026-02-13T15:48:02.212976
2026-05-05,HKG,departure,07:40,HAN Hanoi,UO550,HK Express,2h 10m,2026-02-13T15:48:02.386161
2026-05-05,HKG,departure,07:45,HGH Hangzhou,CX958,Cathay Pacific,2h 25m,2026-02-13T15:48:02.543492
