date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-08-23,BFV,departure,09:30,DMK Bangkok,FD3523,Thai AirAsia,0h 55m,True,2026-02-23T17:04:30.457602
2026-08-23,BFV,departure,14:30,DMK Bangkok,FD3521,Thai AirAsia,0h 55m,True,2026-02-23T17:04:30.548951
2026-08-23,BFV,arrival,09:00,DMK Bangkok,FD3522,Thai AirAsia,1h 5m,True,2026-02-23T17:04:39.926965
2026-08-23,BFV,arrival,14:00,DMK Bangkok,FD3520,Thai AirAsia,1h 0m,True,2026-02-23T17:04:40.015063
