date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-07-23,BFV,departure,09:30,DMK Bangkok,FD3523,Thai AirAsia,0h 55m,True,2026-02-23T17:12:30.255181
2026-07-23,BFV,departure,14:30,DMK Bangkok,FD3521,Thai AirAsia,0h 55m,True,2026-02-23T17:12:30.334104
2026-07-23,BFV,departure,17:05,BKK Bangkok,FD4512,Thai AirAsia,1h 5m,True,2026-02-23T17:12:30.422995
2026-07-23,BFV,arrival,09:00,DMK Bangkok,FD3522,Thai AirAsia,1h 5m,True,2026-02-23T17:12:40.411232
2026-07-23,BFV,arrival,14:00,DMK Bangkok,FD3520,Thai AirAsia,1h 0m,True,2026-02-23T17:12:40.488177
2026-07-23,BFV,arrival,16:35,BKK Bangkok,FD4511,Thai AirAsia,1h 5m,True,2026-02-23T17:12:40.568724
