date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-02-24,NNT,departure,09:55,DMK Bangkok,FD3555,Thai AirAsia,1h 10m,True,2026-02-18T10:22:10.060323
2026-02-24,NNT,departure,10:50,DMK Bangkok,DD171,Nok Air,1h 10m,True,2026-02-18T10:22:10.153761
2026-02-24,NNT,departure,13:25,DMK Bangkok,FD3553,Thai AirAsia,1h 10m,True,2026-02-18T10:22:10.241383
2026-02-24,NNT,departure,19:15,DMK Bangkok,FD3557,Thai AirAsia,1h 10m,True,2026-02-18T10:22:10.317755
2026-02-24,NNT,arrival,09:25,DMK Bangkok,FD3554,Thai AirAsia,1h 15m,True,2026-02-18T10:22:35.928380
2026-02-24,NNT,arrival,10:20,DMK Bangkok,DD170,Nok Air,1h 15m,True,2026-02-18T10:22:36.015537
2026-02-24,NNT,arrival,12:55,DMK Bangkok,FD3552,Thai AirAsia,1h 15m,True,2026-02-18T10:22:36.094347
2026-02-24,NNT,arrival,18:45,DMK Bangkok,FD3556,Thai AirAsia,1h 10m,True,2026-02-18T10:22:36.171225
