date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-12-23,ROI,departure,08:25,DMK Bangkok,FD3567,Thai AirAsia,1h 0m,True,2026-02-23T00:32:36.929707
2026-12-23,ROI,departure,13:45,DMK Bangkok,FD3565,Thai AirAsia,1h 0m,True,2026-02-23T00:32:37.036573
2026-12-23,ROI,departure,17:05,DMK Bangkok,FD3563,Thai AirAsia,1h 0m,True,2026-02-23T00:32:37.143068
2026-12-23,ROI,departure,20:00,DMK Bangkok,FD3569,Thai AirAsia,1h 0m,True,2026-02-23T00:32:37.248374
2026-12-23,ROI,arrival,07:55,DMK Bangkok,FD3566,Thai AirAsia,1h 10m,True,2026-02-23T00:32:47.271841
2026-12-23,ROI,arrival,13:15,DMK Bangkok,FD3564,Thai AirAsia,1h 10m,True,2026-02-23T00:32:47.403554
2026-12-23,ROI,arrival,16:35,DMK Bangkok,FD3562,Thai AirAsia,1h 10m,True,2026-02-23T00:32:47.531137
2026-12-23,ROI,arrival,19:20,DMK Bangkok,FD3568,Thai AirAsia,1h 10m,True,2026-02-23T00:32:47.653427
