date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-10-15,SNO,departure,08:15,DMK Bangkok,DD361,Nok Air,1h 10m,True,2026-02-20T10:12:06.310227
2026-10-15,SNO,departure,09:10,DMK Bangkok,FD3511,Thai AirAsia,1h 0m,True,2026-02-20T10:12:06.441797
2026-10-15,SNO,departure,15:15,DMK Bangkok,DD365,Nok Air,1h 10m,True,2026-02-20T10:12:06.551773
2026-10-15,SNO,departure,15:20,DMK Bangkok,FD3515,Thai AirAsia,1h 5m,True,2026-02-20T10:12:06.661893
2026-10-15,SNO,arrival,07:45,DMK Bangkok,DD360,Nok Air,1h 15m,True,2026-02-20T10:12:17.115014
2026-10-15,SNO,arrival,08:40,DMK Bangkok,FD3510,Thai AirAsia,1h 10m,True,2026-02-20T10:12:17.219181
2026-10-15,SNO,arrival,14:45,DMK Bangkok,DD364,Nok Air,1h 15m,True,2026-02-20T10:12:17.333885
2026-10-15,SNO,arrival,14:50,DMK Bangkok,FD3514,Thai AirAsia,1h 15m,True,2026-02-20T10:12:17.443276
