date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-11-27,SNO,departure,08:35,DMK Bangkok,FD3511,Thai AirAsia,1h 5m,True,2026-02-20T09:43:32.545859
2026-11-27,SNO,departure,09:00,DMK Bangkok,DD361,Nok Air,1h 10m,True,2026-02-20T09:43:32.639652
2026-11-27,SNO,departure,15:05,DMK Bangkok,FD3515,Thai AirAsia,1h 5m,True,2026-02-20T09:43:32.732332
2026-11-27,SNO,departure,15:15,DMK Bangkok,DD365,Nok Air,1h 10m,True,2026-02-20T09:43:32.828686
2026-11-27,SNO,arrival,08:05,DMK Bangkok,FD3510,Thai AirAsia,1h 15m,True,2026-02-20T09:43:42.663688
2026-11-27,SNO,arrival,08:30,DMK Bangkok,DD360,Nok Air,1h 15m,True,2026-02-20T09:43:42.774721
2026-11-27,SNO,arrival,14:35,DMK Bangkok,FD3514,Thai AirAsia,1h 20m,True,2026-02-20T09:43:42.879164
2026-11-27,SNO,arrival,14:45,DMK Bangkok,DD364,Nok Air,1h 15m,True,2026-02-20T09:43:42.990173
