date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-08-19,CJM,departure,09:00,DMK Bangkok,FD3149,Thai AirAsia,1h 0m,True,2026-02-22T22:29:26.505419
2026-08-19,CJM,departure,14:40,DMK Bangkok,FD3147,Thai AirAsia,1h 0m,True,2026-02-22T22:29:26.595899
2026-08-19,CJM,departure,19:30,DMK Bangkok,DD605,Nok Air,1h 0m,True,2026-02-22T22:29:26.685203
2026-08-19,CJM,arrival,08:30,DMK Bangkok,FD3148,Thai AirAsia,1h 5m,True,2026-02-22T22:29:35.670958
2026-08-19,CJM,arrival,14:10,DMK Bangkok,FD3146,Thai AirAsia,1h 5m,True,2026-02-22T22:29:35.767085
2026-08-19,CJM,arrival,19:00,DMK Bangkok,DD604,Nok Air,1h 5m,True,2026-02-22T22:29:35.859023
