date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-08-08,SNO,departure,08:15,DMK Bangkok,DD361,Nok Air,1h 10m,True,2026-02-20T09:40:37.613014
2026-08-08,SNO,departure,09:10,DMK Bangkok,FD3511,Thai AirAsia,1h 0m,True,2026-02-20T09:40:37.729959
2026-08-08,SNO,departure,15:15,DMK Bangkok,DD365,Nok Air,1h 10m,True,2026-02-20T09:40:37.846589
2026-08-08,SNO,departure,15:20,DMK Bangkok,FD3515,Thai AirAsia,1h 5m,True,2026-02-20T09:40:37.942832
2026-08-08,SNO,arrival,07:45,DMK Bangkok,DD360,Nok Air,1h 15m,True,2026-02-20T09:40:48.152102
2026-08-08,SNO,arrival,08:40,DMK Bangkok,FD3510,Thai AirAsia,1h 10m,True,2026-02-20T09:40:48.272682
2026-08-08,SNO,arrival,14:45,DMK Bangkok,DD364,Nok Air,1h 15m,True,2026-02-20T09:40:48.377085
2026-08-08,SNO,arrival,14:50,DMK Bangkok,FD3514,Thai AirAsia,1h 15m,True,2026-02-20T09:40:48.478194
