date,airport,direction,time,destination,flight,airline,airline_source,duration,page_date_verified,scraped_at
2026-02-20,BKK,departure,00:05,CDG Paris,TG930,Thai Airways,text,12h 45m,True,2026-02-10T19:29:47.887580
2026-02-20,BKK,departure,00:05,LHR London,TG910,Thai Airways,text,13h 35m,True,2026-02-10T19:29:48.070992
2026-02-20,BKK,departure,00:05,NGO Nagoya,TG644,Thai Airways,text,5h 25m,True,2026-02-10T19:29:48.159833
2026-02-20,BKK,departure,00:05,ARN Stockholm,TG960,Thai Airways,text,12h 40m,True,2026-02-10T19:29:48.247546
2026-02-20,BKK,departure,00:05,CPH Copenhagen,TG950,Thai Airways,text,12h 15m,True,2026-02-10T19:29:48.333015
2026-02-20,BKK,departure,00:05,OSL Oslo,TG954,Thai Airways,text,13h 0m,True,2026-02-10T19:29:48.416102
2026-02-20,BKK,departure,00:10,NRT Tokyo,NQ2,Air Japan,text,6h 5m,True,2026-02-10T19:29:48.501876
2026-02-20,BKK,departure,00:25,PKX Beijing,MU2072,China Eastern,text,4h 50m,True,2026-02-10T19:29:48.584608
2026-02-20,BKK,departure,00:30,BRU Brussels,TG934,Thai Airways,text,12h 35m,True,2026-02-10T19:29:48.673345
2026-02-20,BKK,departure,00:35,ZRH Zurich,TG970,Thai Airways,text,12h 20m,True,2026-02-10T19:29:48.758322
2026-02-20,BKK,departure,00:35,MXP Milan,TG940,Thai Airways,text,12h 35m,True,2026-02-10T19:29:48.846338
2026-02-20,BKK,departure,00:40,PUS Busan,7C2552,Jeju Air,text,5h 55m,True,2026-02-10T19:29:48.930430
2026-02-20,BKK,departure,00:50,PUS Busan,LJ22,Jin Air,text,5h 5m,True,2026-02-10T19:29:49.027709
2026-02-20,BKK,departure,00:50,MUC Munich,TG924,Thai Airways,text,11h 55m,True,2026-02-10T19:29:49.129944
2026-02-20,BKK,departure,00:55,ICN Seoul,KE654,Korean Air,text,5h 20m,True,2026-02-10T19:29:49.228442
2026-02-20,BKK,departure,00:55,PVG Shanghai,FM7302,Shanghai Airlines,text,4h 15m,True,2026-02-10T19:29:49.315912
