date,airport,direction,time,destination,flight,airline,airline_source,duration,page_date_verified,scraped_at
2026-02-19,BKK,departure,02:25,ICN Seoul,VZ850,Vietjet Thailand,text,5h 30m,True,2026-02-10T19:26:29.971105
2026-02-19,BKK,departure,02:25,TAO Qingdao,SC4080,Shandong Airlines,text,4h 40m,True,2026-02-10T19:26:30.067058
2026-02-19,BKK,departure,02:30,PVG Shanghai,CA806,Air China,text,4h 10m,True,2026-02-10T19:26:30.169144
2026-02-19,BKK,departure,02:30,TAE Daegu,TW106,T´Way Air,text,5h 10m,True,2026-02-10T19:26:30.256778
2026-02-19,BKK,departure,02:35,TPE Taipei,CI838,China Airlines,text,3h 40m,True,2026-02-10T19:26:30.345181
2026-02-19,BKK,departure,02:35,KMG Kunming,MU894,China Eastern,text,2h 25m,True,2026-02-10T19:26:30.433824
2026-02-19,BKK,departure,02:40,SZX Shenzhen,CZ8158,China Southern,text,3h 25m,True,2026-02-10T19:26:30.521421
2026-02-19,BKK,departure,02:50,XIY Xian,9C6252,Spring Airlines,text,3h 45m,True,2026-02-10T19:26:30.608907
2026-02-19,BKK,departure,02:50,CGO Zhengzhou,CZ3080,China Southern,text,4h 0m,True,2026-02-10T19:26:30.696181
2026-02-19,BKK,departure,02:55,DXB Dubai,EK371,Emirates,text,6h 40m,True,2026-02-10T19:26:30.785524
2026-02-19,BKK,departure,02:55,AUH Abu Dhabi,EY401,Etihad,text,6h 50m,True,2026-02-10T19:26:30.872838
2026-02-19,BKK,departure,03:00,DOH Doha,QR827,Qatar Airways,text,7h 25m,True,2026-02-10T19:26:30.972073
2026-02-19,BKK,departure,03:05,TNA Jinan,SC8076,Shandong Airlines,text,4h 20m,True,2026-02-10T19:26:31.073996
2026-02-19,BKK,departure,03:10,CAN Guangzhou,MU2078,China Eastern,text,3h 45m,True,2026-02-10T19:26:31.160139
2026-02-19,BKK,departure,03:15,SZX Shenzhen,ZH306,Shenzhen Airlines,text,2h 45m,True,2026-02-10T19:26:31.246533
2026-02-19,BKK,departure,03:20,ARN Stockholm,N0192,Norse,text,12h 55m,True,2026-02-10T19:26:31.334122
2026-02-19,BKK,departure,03:20,OSL Oslo,N092,Norse,text,13h 15m,True,2026-02-10T19:26:31.419382
2026-02-19,BKK,departure,03:20,HGH Hangzhou,CA716,Air China,text,3h 30m,True,2026-02-10T19:26:31.508104
2026-02-19,BKK,departure,03:20,HKG Hong Kong,HX760,Hong Kong Airlines,text,2h 55m,True,2026-02-10T19:26:31.594833
2026-02-19,BKK,departure,03:30,IKT Irkutsk,S76306,S7 Airlines,text,6h 25m,True,2026-02-10T19:26:31.680897
2026-02-19,BKK,departure,03:30,KHN Nanchang,9C8610,Spring Airlines,text,3h 35m,True,2026-02-10T19:26:31.770082
2026-02-19,BKK,departure,03:40,TYN Taiyuan,MU7234,China Eastern,text,4h 30m,True,2026-02-10T19:26:31.864892
2026-02-19,BKK,departure,03:40,WUH Wuhan,MU2564,China Eastern,text,3h 30m,True,2026-02-10T19:26:31.964369
2026-02-19,BKK,departure,03:50,MNL Manila,5J932,Cebu Pacific,text,3h 40m,True,2026-02-10T19:26:32.049802
2026-02-19,BKK,departure,04:00,NGB Ningbo,9C7534,Spring Airlines,text,4h 0m,True,2026-02-10T19:26:32.135913
2026-02-19,BKK,departure,04:05,XIY Xian,GJ8908,Loong Air,text,3h 35m,True,2026-02-10T19:26:32.227588
2026-02-19,BKK,departure,05:05,PVG Shanghai,FM848,Shanghai Airlines,text,4h 30m,True,2026-02-10T19:26:32.315448
2026-02-19,BKK,departure,05:40,KUL Kuala Lumpur,MH797,Malaysia Airlines,text,2h 15m,True,2026-02-10T19:26:32.397896
2026-02-19,BKK,departure,05:45,PVG Shanghai,MU7390,China Eastern,text,4h 15m,True,2026-02-10T19:26:32.481303
2026-02-19,BKK,departure,05:50,IST Istanbul,TK59,Turkish Airlines,text,10h 40m,True,2026-02-10T19:26:32.565465
2026-02-19,BKK,departure,05:55,CCU Kolkata,6E1058,IndiGo,text,2h 55m,True,2026-02-10T19:26:32.650073
2026-02-19,BKK,departure,06:00,USM Koh Samui,PG101,Bangkok Airways,text,1h 10m,True,2026-02-10T19:26:32.747566
2026-02-19,BKK,departure,06:05,NST Nakhon Si Thammarat,VZ330,Vietjet Thailand,text,1h 25m,True,2026-02-10T19:26:32.842835
2026-02-19,BKK,departure,06:10,USM Koh Samui,PG109,Bangkok Airways,text,1h 35m,True,2026-02-10T19:26:32.930804
2026-02-19,BKK,departure,06:20,USM Koh Samui,PG105,Bangkok Airways,text,1h 10m,True,2026-02-10T19:26:33.021708
2026-02-19,BKK,departure,06:30,USM Koh Samui,PG107,Bangkok Airways,text,1h 35m,True,2026-02-10T19:26:33.108860
2026-02-19,BKK,departure,06:30,CEI Chiang Rai,VZ130,Vietjet Thailand,text,1h 25m,True,2026-02-10T19:26:33.196204
2026-02-19,BKK,departure,06:30,CCU Kolkata,B3701,Bhutan Airlines,text,2h 45m,True,2026-02-10T19:26:33.283457
2026-02-19,BKK,departure,06:35,KBV Krabi,FD4402,Thai AirAsia,text,1h 25m,True,2026-02-10T19:26:33.370596
2026-02-19,BKK,departure,06:35,HDY Hat Yai,TG259,Thai Airways,text,1h 30m,True,2026-02-10T19:26:33.458392
2026-02-19,BKK,departure,06:35,CNX Chiang Mai,VZ100,Vietjet Thailand,text,1h 25m,True,2026-02-10T19:26:33.543361
2026-02-19,BKK,departure,06:50,CEI Chiang Rai,FD4150,Thai AirAsia,text,1h 20m,True,2026-02-10T19:26:33.638613
2026-02-19,BKK,departure,06:50,HKT Phuket,VZ314,Vietjet Thailand,text,1h 35m,True,2026-02-10T19:26:33.737114
2026-02-19,BKK,departure,06:55,KKC Khon Kaen,TG40,Thai Airways,text,1h 0m,True,2026-02-10T19:26:33.824034
2026-02-19,BKK,departure,06:55,UTH Udon Thani,TG2,Thai Airways,text,1h 5m,True,2026-02-10T19:26:33.910906
2026-02-19,BKK,departure,07:00,THS Sukhothai,PG211,Bangkok Airways,text,1h 20m,True,2026-02-10T19:26:34.001663
2026-02-19,BKK,departure,07:00,USM Koh Samui,PG125,Bangkok Airways,text,1h 10m,True,2026-02-10T19:26:34.088728
2026-02-19,BKK,departure,07:00,UBP Ubon Ratchathani,TG20,Thai Airways,text,1h 10m,True,2026-02-10T19:26:34.175579
2026-02-19,BKK,departure,07:00,DEL Delhi,TG323,Thai Airways,text,4h 25m,True,2026-02-10T19:26:34.265192
2026-02-19,BKK,departure,07:05,UTH Udon Thani,FD4350,Thai AirAsia,text,1h 5m,True,2026-02-10T19:26:34.353723
2026-02-19,BKK,departure,07:05,KBV Krabi,PG261,Bangkok Airways,text,1h 30m,True,2026-02-10T19:26:34.438375
2026-02-19,BKK,departure,07:05,KBV Krabi,VZ340,Vietjet Thailand,text,1h 25m,True,2026-02-10T19:26:34.539783
2026-02-19,BKK,departure,07:05,KKC Khon Kaen,VZ210,Vietjet Thailand,text,1h 5m,True,2026-02-10T19:26:34.637461
2026-02-19,BKK,departure,07:05,MFM Macau,NX9989,Air Macau,text,3h 5m,True,2026-02-10T19:26:34.723714
2026-02-19,BKK,departure,07:10,NRT Tokyo,NH806,ANA,text,5h 55m,True,2026-02-10T19:26:34.812231
2026-02-19,BKK,departure,07:10,HDY Hat Yai,VZ320,Vietjet Thailand,text,1h 30m,True,2026-02-10T19:26:34.900411
2026-02-19,BKK,departure,07:25,CNX Chiang Mai,TG102,Thai Airways,text,1h 20m,True,2026-02-10T19:26:34.989692
2026-02-19,BKK,departure,07:25,KTI Phnom Penh,TG586,Thai Airways,text,1h 20m,True,2026-02-10T19:26:35.077229
2026-02-19,BKK,departure,07:30,URT Surat Thani,FD4212,Thai AirAsia,text,1h 25m,True,2026-02-10T19:26:35.164183
2026-02-19,BKK,departure,07:30,USM Koh Samui,PG121,Bangkok Airways,text,1h 10m,True,2026-02-10T19:26:35.252588
2026-02-19,BKK,departure,07:35,KBV Krabi,TG241,Thai Airways,text,1h 20m,True,2026-02-10T19:26:35.340847
2026-02-19,BKK,departure,07:40,HKT Phuket,TG201,Thai Airways,text,1h 30m,True,2026-02-10T19:26:35.442721
2026-02-19,BKK,departure,07:45,HAN Hanoi,TG560,Thai Airways,text,1h 50m,True,2026-02-10T19:26:35.535913
2026-02-19,BKK,departure,07:45,SAI Siem Reap,TG588,Thai Airways,text,1h 0m,True,2026-02-10T19:26:35.625956
2026-02-19,BKK,departure,07:45,SGN Ho Chi Minh City,TG550,Thai Airways,text,1h 30m,True,2026-02-10T19:26:35.713772
2026-02-19,BKK,departure,07:45,MNL Manila,TG620,Thai Airways,text,3h 10m,True,2026-02-10T19:26:35.801594
2026-02-19,BKK,departure,07:50,HKT Phuket,FD4124,Thai AirAsia,text,1h 40m,True,2026-02-10T19:26:35.889638
2026-02-19,BKK,departure,07:50,KMG Kunming,MU9622,China Eastern,text,2h 35m,True,2026-02-10T19:26:35.976022
2026-02-19,BKK,departure,07:55,SAI Siem Reap,PG903,Bangkok Airways,text,1h 20m,True,2026-02-10T19:26:36.064064
2026-02-19,BKK,departure,07:55,HKG Hong Kong,CX756,Cathay Pacific,text,2h 50m,True,2026-02-10T19:26:36.151965
2026-02-19,BKK,departure,08:00,HEL Helsinki,AY142,Finnair,text,12h 35m,True,2026-02-10T19:26:36.244341
2026-02-19,BKK,departure,08:00,HKT Phuket,PG271,Bangkok Airways,text,1h 35m,True,2026-02-10T19:26:36.343572
2026-02-19,BKK,departure,08:00,HKT Phuket,TG203,Thai Airways,text,1h 25m,True,2026-02-10T19:26:36.435793
2026-02-19,BKK,departure,08:00,NRT Tokyo,TG676,Thai Airways,text,5h 50m,True,2026-02-10T19:26:36.523342
2026-02-19,BKK,departure,08:00,HKG Hong Kong,TG600,Thai Airways,text,2h 45m,True,2026-02-10T19:26:36.612022
2026-02-19,BKK,departure,08:00,SIN Singapore,TG403,Thai Airways,text,2h 15m,True,2026-02-10T19:26:36.699543
2026-02-19,BKK,departure,08:05,NRT Tokyo,JL708,JAL,text,5h 55m,True,2026-02-10T19:26:36.786211
2026-02-19,BKK,departure,08:05,CNX Chiang Mai,PG215,Bangkok Airways,text,1h 20m,True,2026-02-10T19:26:36.875065
2026-02-19,BKK,departure,08:05,USM Koh Samui,PG123,Bangkok Airways,text,1h 15m,True,2026-02-10T19:26:36.963561
2026-02-19,BKK,departure,08:10,TDX Trat,PG301,Bangkok Airways,text,1h 0m,True,2026-02-10T19:26:37.050070
2026-02-19,BKK,departure,08:10,CEI Chiang Rai,TG130,Thai Airways,text,1h 30m,True,2026-02-10T19:26:37.139406
2026-02-19,BKK,departure,08:10,SHJ Sharjah,G9822,Air Arabia,text,7h 0m,True,2026-02-10T19:26:37.243899
2026-02-19,BKK,departure,08:15,YVR Vancouver,AC66,Air Canada,text,13h 20m,True,2026-02-10T19:26:37.332143
2026-02-19,BKK,departure,08:15,KIX Osaka,TG672,Thai Airways,text,5h 30m,True,2026-02-10T19:26:37.421391
2026-02-19,BKK,departure,08:15,DOH Doha,QR831,Qatar Airways,text,7h 25m,True,2026-02-10T19:26:37.510007
2026-02-19,BKK,departure,08:15,DAD Da Nang,VZ964,Vietjet Thailand,text,1h 40m,True,2026-02-10T19:26:37.599040
2026-02-19,BKK,departure,08:15,TPE Taipei,TG632,Thai Airways,text,3h 30m,True,2026-02-10T19:26:37.687024
2026-02-19,BKK,departure,08:20,HKT Phuket,VZ300,Vietjet Thailand,text,1h 30m,True,2026-02-10T19:26:37.773864
2026-02-19,BKK,departure,08:20,MEL Melbourne,TG461,Thai Airways,text,9h 0m,True,2026-02-10T19:26:37.863216
2026-02-19,BKK,departure,08:20,CGK Jakarta,TG433,Thai Airways,text,3h 35m,True,2026-02-10T19:26:37.959410
2026-02-19,BKK,departure,08:20,CAN Guangzhou,CZ362,China Southern,text,2h 50m,True,2026-02-10T19:26:38.057161
2026-02-19,BKK,departure,08:30,HDY Hat Yai,FD4202,Thai AirAsia,text,1h 30m,True,2026-02-10T19:26:38.145345
2026-02-19,BKK,departure,08:30,MCT Muscat,OV464,Salam Air,text,6h 30m,True,2026-02-10T19:26:38.233756
2026-02-19,BKK,departure,08:30,KTI Phnom Penh,VZ720,Vietjet Thailand,text,1h 15m,True,2026-02-10T19:26:38.321004
2026-02-19,BKK,departure,08:30,SYD Sydney,TG475,Thai Airways,text,9h 20m,True,2026-02-10T19:26:38.411080
2026-02-19,BKK,departure,08:30,UTH Udon Thani,VZ200,Vietjet Thailand,text,1h 10m,True,2026-02-10T19:26:38.497645
2026-02-19,BKK,departure,08:30,GAY Gaya,KB123,Drukair,text,3h 20m,True,2026-02-10T19:26:38.584559
2026-02-19,BKK,departure,08:45,KUL Kuala Lumpur,TG415,Thai Airways,text,2h 10m,True,2026-02-10T19:26:38.673959
2026-02-19,BKK,departure,08:50,CNX Chiang Mai,FD4100,Thai AirAsia,text,1h 20m,True,2026-02-10T19:26:38.760840
2026-02-19,BKK,departure,08:50,DEL Delhi,AI2333,Air India,text,4h 45m,True,2026-02-10T19:26:38.856928
2026-02-19,BKK,departure,08:50,DPS Denpasar,TG431,Thai Airways,text,4h 25m,True,2026-02-10T19:26:38.956656
2026-02-19,BKK,departure,08:55,AUH Abu Dhabi,EY403,Etihad,text,6h 50m,True,2026-02-10T19:26:39.044725
2026-02-19,BKK,departure,09:00,USM Koh Samui,PG119,Bangkok Airways,text,1h 35m,True,2026-02-10T19:26:39.130479
2026-02-19,BKK,departure,09:00,RUN Saint Denis de la Reunion,UU888,Air Austral,text,7h 45m,True,2026-02-10T19:26:39.221164
2026-02-19,BKK,departure,09:00,MCT Muscat,WY818,Oman Air,text,6h 10m,True,2026-02-10T19:26:39.309286
2026-02-19,BKK,departure,09:00,CMB Colombo,UL403,SriLankan Airlines,text,3h 30m,True,2026-02-10T19:26:39.396957
2026-02-19,BKK,departure,09:05,DOH Doha,QR839,Qatar Airways,text,7h 25m,True,2026-02-10T19:26:39.484897
2026-02-19,BKK,departure,09:05,TPE Taipei,VZ568,Vietjet Thailand,text,3h 40m,True,2026-02-10T19:26:39.572425
2026-02-19,BKK,departure,09:10,HND Tokyo,NH848,ANA,text,5h 45m,True,2026-02-10T19:26:39.659979
2026-02-19,BKK,departure,09:15,JJN Jinjiang,AQ1436,9 Air,text,2h 45m,True,2026-02-10T19:26:39.756342
2026-02-19,BKK,departure,09:15,SIN Singapore,TR609,Scoot,text,2h 40m,True,2026-02-10T19:26:39.854629
2026-02-19,BKK,departure,09:20,USM Koh Samui,PG127,Bangkok Airways,text,1h 15m,True,2026-02-10T19:26:39.943096
2026-02-19,BKK,departure,09:20,RGN Yangon,UB20,Myanmar National Airlines,text,1h 25m,True,2026-02-10T19:26:40.032233
2026-02-19,BKK,departure,09:20,CEI Chiang Rai,VZ138,Vietjet Thailand,text,1h 25m,True,2026-02-10T19:26:40.119714
2026-02-19,BKK,departure,09:20,CAN Guangzhou,TG668,Thai Airways,text,3h 0m,True,2026-02-10T19:26:40.208954
2026-02-19,BKK,departure,09:25,PVG Shanghai,FM854,Shanghai Airlines,text,4h 25m,True,2026-02-10T19:26:40.297184
2026-02-19,BKK,departure,09:30,DXB Dubai,EK375,Emirates,text,6h 45m,True,2026-02-10T19:26:40.384760
2026-02-19,BKK,departure,09:30,CDG Paris,AF183,Air France,text,13h 0m,True,2026-02-10T19:26:40.475176
2026-02-19,BKK,departure,09:35,URT Surat Thani,VZ350,Vietjet Thailand,text,1h 15m,True,2026-02-10T19:26:40.562382
2026-02-19,BKK,departure,09:35,SIN Singapore,SQ705,Singapore Airlines,text,2h 35m,True,2026-02-10T19:26:40.659526
2026-02-19,BKK,departure,09:40,ICN Seoul,KE660,Korean Air,text,5h 25m,True,2026-02-10T19:26:40.758059
2026-02-19,BKK,departure,09:40,HKT Phuket,TG205,Thai Airways,text,1h 30m,True,2026-02-10T19:26:40.845588
2026-02-19,BKK,departure,09:40,PQC Phu Quoc,VZ980,Vietjet Thailand,text,1h 20m,True,2026-02-10T19:26:40.933633
2026-02-19,BKK,departure,09:45,RGN Yangon,TG301,Thai Airways,text,1h 20m,True,2026-02-10T19:26:41.021811
2026-02-19,BKK,departure,09:55,VTE Vientiane,QV442,Lao Airlines,text,1h 15m,True,2026-02-10T19:26:41.110922
2026-02-19,BKK,departure,09:55,HND Tokyo,JL32,JAL,text,5h 35m,True,2026-02-10T19:26:41.197875
2026-02-19,BKK,departure,10:00,CNX Chiang Mai,PG223,Bangkok Airways,text,1h 20m,True,2026-02-10T19:26:41.286679
2026-02-19,BKK,departure,10:05,TFU Chengdu,TG618,Thai Airways,text,2h 55m,True,2026-02-10T19:26:41.375123
2026-02-19,BKK,departure,10:10,BOM Mumbai,6E1052,IndiGo,text,5h 5m,True,2026-02-10T19:26:41.463753
2026-02-19,BKK,departure,10:10,PEK Beijing,TG614,Thai Airways,text,4h 40m,True,2026-02-10T19:26:41.560856
2026-02-19,BKK,departure,10:10,IST Istanbul,TK65,Turkish Airlines,text,10h 35m,True,2026-02-10T19:26:41.659876
2026-02-19,BKK,departure,10:15,USM Koh Samui,PG129,Bangkok Airways,text,1h 35m,True,2026-02-10T19:26:41.747714
2026-02-19,BKK,departure,10:15,SVO Moscow,SU271,Aeroflot,text,10h 10m,True,2026-02-10T19:26:41.834165
2026-02-19,BKK,departure,10:15,CNX Chiang Mai,TG104,Thai Airways,text,1h 15m,True,2026-02-10T19:26:41.924187
