date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-10-07,TDX,departure,09:45,BKK Bangkok,PG302,Bangkok Airways,1h 0m,True,2026-02-19T13:47:16.395410
2026-10-07,TDX,departure,13:10,BKK Bangkok,PG306,Bangkok Airways,1h 0m,True,2026-02-19T13:47:16.486890
2026-10-07,TDX,departure,17:50,BKK Bangkok,PG308,Bangkok Airways,1h 0m,True,2026-02-19T13:47:16.568925
2026-10-07,TDX,arrival,10:45,TDX Trat,PG302,Bangkok Airways,1h 0m,True,2026-02-19T13:47:22.241264
2026-10-07,TDX,arrival,14:10,TDX Trat,PG306,Bangkok Airways,1h 0m,True,2026-02-19T13:47:22.333797
2026-10-07,TDX,arrival,18:50,TDX Trat,PG308,Bangkok Airways,1h 0m,True,2026-02-19T13:47:22.420656
