date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-06-30,TDX,departure,09:45,BKK Bangkok,PG302,Bangkok Airways,1h 0m,True,2026-02-19T13:48:59.824231
2026-06-30,TDX,departure,13:10,BKK Bangkok,PG306,Bangkok Airways,1h 0m,True,2026-02-19T13:48:59.916979
2026-06-30,TDX,departure,17:50,BKK Bangkok,PG308,Bangkok Airways,1h 0m,True,2026-02-19T13:49:00.007941
2026-06-30,TDX,arrival,10:45,TDX Trat,PG302,Bangkok Airways,1h 0m,True,2026-02-19T13:49:06.286738
2026-06-30,TDX,arrival,14:10,TDX Trat,PG306,Bangkok Airways,1h 0m,True,2026-02-19T13:49:06.381139
2026-06-30,TDX,arrival,18:50,BKK Bangkok,PG308,Bangkok Airways,1h 0m,True,2026-02-19T13:49:06.476076
