date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-07-13,SNO,departure,09:00,DMK Bangkok,DD361,Nok Air,1h 10m,True,2026-02-20T09:51:08.942704
2026-07-13,SNO,departure,09:10,DMK Bangkok,FD3511,Thai AirAsia,1h 0m,True,2026-02-20T09:51:09.033290
2026-07-13,SNO,departure,15:15,DMK Bangkok,DD365,Nok Air,1h 10m,True,2026-02-20T09:51:09.123952
2026-07-13,SNO,departure,15:20,DMK Bangkok,FD3515,Thai AirAsia,1h 5m,True,2026-02-20T09:51:09.215431
2026-07-13,SNO,arrival,08:30,DMK Bangkok,DD360,Nok Air,1h 15m,True,2026-02-20T09:51:19.543889
2026-07-13,SNO,arrival,08:40,DMK Bangkok,FD3510,Thai AirAsia,1h 10m,True,2026-02-20T09:51:19.665932
2026-07-13,SNO,arrival,14:45,DMK Bangkok,DD364,Nok Air,1h 15m,True,2026-02-20T09:51:19.771517
2026-07-13,SNO,arrival,14:50,DMK Bangkok,FD3514,Thai AirAsia,1h 15m,True,2026-02-20T09:51:19.876250
