date,airport,direction,time,destination,flight,airline,airline_source,duration,aircraft,distance,seats,meals,arrival_terminal,codeshare,entertainment,page_date_verified,scraped_at
2026-07-20,JAF,departure,10:25,JAF Jaffna,6E1177,IndiGo,text,1h 15m,ATR 72,"222 miles, 357 km",78,Meal (none specific),2,,,True,2026-02-17T15:27:36.990463
2026-07-20,JAF,arrival,11:40,MAA Chennai,6E1177,IndiGo,text,1h 15m,ATR 72,"222 miles, 357 km",78,Meal (none specific),2,,,True,2026-02-17T15:28:40.649960
