date,airport,direction,time,destination,flight,airline,airline_source,duration,aircraft,distance,seats,meals,arrival_terminal,codeshare,entertainment,page_date_verified,scraped_at
2026-08-27,KQT,departure,16:00,SVO Moscow,N41402,Nordwind Airlines,text,4h 40m,Boeing 737-800 (winglets) Passenger/BBJ2,"1922 miles, 3092 km",189,Meal (none specific),C,,,True,2026-02-16T12:57:38.693407
2026-08-27,KQT,arrival,14:15,SVO Moscow,N41401,Nordwind Airlines,text,4h 25m,Boeing 737-800 (winglets) Passenger/BBJ2,"1922 miles, 3092 km",189,Meal (none specific),C,,,True,2026-02-16T12:57:44.312619
