date,airport,direction,time,destination,flight,airline,airline_source,duration,aircraft,distance,seats,meals,arrival_terminal,codeshare,entertainment,page_date_verified,scraped_at
2026-11-19,KQT,departure,16:00,SVO Moscow,N41402,Nordwind Airlines,text,4h 40m,Boeing 737-800 (winglets) Passenger/BBJ2,"1922 miles, 3092 km",189,Meal (none specific),C,,,True,2026-02-16T13:07:06.190535
2026-11-19,KQT,arrival,14:15,SVO Moscow,N41401,Nordwind Airlines,text,4h 25m,Boeing 737-800 (winglets) Passenger/BBJ2,"1922 miles, 3092 km",189,Meal (none specific),C,,,True,2026-02-16T13:07:12.000283
