date,airport,direction,time,destination,flight,airline,airline_source,duration,aircraft,distance,seats,meals,arrival_terminal,codeshare,entertainment,page_date_verified,scraped_at
2026-04-07,KQT,departure,16:30,SVO Moscow,N41402,Nordwind Airlines,text,4h 40m,Boeing 737-800 (winglets) Passenger/BBJ2,"1922 miles, 3092 km",189,Meal (none specific),C,,,True,2026-02-16T12:40:24.134251
2026-04-07,KQT,arrival,15:00,SVO Moscow,N41401,Nordwind Airlines,text,4h 25m,Boeing 737-800 (winglets) Passenger/BBJ2,"1922 miles, 3092 km",189,Meal (none specific),C,,,True,2026-02-16T12:40:30.733905
